comparison,q,n,theta,alpha_reference,alpha_ejab,power_reference,power_ejab,risk_reference,risk_ejab,delta_r,normalized_delta_r
berger_p005,3,1000000000000.0,0.01,0.0050000000000000044,1.4975966528164803e-06,1.0,1.0,0.0024999999999999467,7.487983264553577e-07,0.0024992512016734914,0.9997004806693965
berger_p005,3,1000000000000.0,0.05,0.0050000000000000044,1.4975966528164803e-06,1.0,1.0,0.0024999999999999467,7.487983264553577e-07,0.0024992512016734914,0.9997004806693965
berger_p005,3,1000000000000.0,0.1,0.0050000000000000044,1.4975966528164803e-06,1.0,1.0,0.0024999999999999467,7.487983264553577e-07,0.0024992512016734914,0.9997004806693965
berger_p005,4,1000000.0,0.01,0.005000000000000006,0.0023785341435048077,0.9999999999109405,0.9999999996414921,0.0025000000445298265,0.0011892672510063207,0.0013107327935235058,0.5242931174094023
berger_p005,4,1000000.0,0.05,0.005000000000000006,0.0023785341435048077,1.0,1.0,0.0025000000000000577,0.0011892670717523757,0.001310732928247682,0.5242931712990728
berger_p005,4,1000000.0,0.1,0.005000000000000006,0.0023785341435048077,1.0,1.0,0.0025000000000000577,0.0011892670717523757,0.001310732928247682,0.5242931712990728
berger_p005,4,100000000.0,0.01,0.005000000000000006,0.00034281379729819266,1.0,1.0,0.0025000000000000577,0.00017140689864914016,0.0023285931013509176,0.931437240540367
berger_p005,4,100000000.0,0.05,0.005000000000000006,0.00034281379729819266,1.0,1.0,0.0025000000000000577,0.00017140689864914016,0.0023285931013509176,0.931437240540367
berger_p005,4,100000000.0,0.1,0.005000000000000006,0.00034281379729819266,1.0,1.0,0.0025000000000000577,0.00017140689864914016,0.0023285931013509176,0.931437240540367
berger_p005,4,10000000000.0,0.01,0.005000000000000006,4.3720532368585665e-05,1.0,1.0,0.0025000000000000577,2.1860266184337007e-05,0.0024781397338157207,0.9912558935262883
berger_p005,4,10000000000.0,0.05,0.005000000000000006,4.3720532368585665e-05,1.0,1.0,0.0025000000000000577,2.1860266184337007e-05,0.0024781397338157207,0.9912558935262883
berger_p005,4,10000000000.0,0.1,0.005000000000000006,4.3720532368585665e-05,1.0,1.0,0.0025000000000000577,2.1860266184337007e-05,0.0024781397338157207,0.9912558935262883
berger_p005,4,1000000000000.0,0.01,0.005000000000000006,5.231004187250586e-06,1.0,1.0,0.0025000000000000577,2.6155020935725304e-06,0.002497384497906485,0.9989537991625941
berger_p005,4,1000000000000.0,0.05,0.005000000000000006,5.231004187250586e-06,1.0,1.0,0.0025000000000000577,2.6155020935725304e-06,0.002497384497906485,0.9989537991625941
berger_p005,4,1000000000000.0,0.1,0.005000000000000006,5.231004187250586e-06,1.0,1.0,0.0025000000000000577,2.6155020935725304e-06,0.002497384497906485,0.9989537991625941
