test_key,short,q,theta,n_min_tail,n_max
wilcoxon,Wilcoxon,1,0.4545454545454545,336,10000000
wilcoxon,Wilcoxon,1,0.4704545454545454,336,10000000
wilcoxon,Wilcoxon,1,0.4863636363636363,336,10000000
wilcoxon,Wilcoxon,1,0.5022727272727272,336,10000000
wilcoxon,Wilcoxon,1,0.5181818181818181,336,10000000
wilcoxon,Wilcoxon,1,0.5340909090909091,336,10000000
wilcoxon,Wilcoxon,1,0.5499999999999999,336,10000000
wilcoxon,Wilcoxon,1,0.5659090909090909,336,10000000
wilcoxon,Wilcoxon,1,0.5818181818181818,336,10000000
wilcoxon,Wilcoxon,1,0.5977272727272727,336,10000000
wilcoxon,Wilcoxon,1,0.6136363636363636,336,10000000
wilcoxon,Wilcoxon,1,0.6295454545454545,336,10000000
wilcoxon,Wilcoxon,1,0.6454545454545454,336,10000000
wilcoxon,Wilcoxon,1,0.6613636363636363,336,10000000
wilcoxon,Wilcoxon,1,0.6772727272727272,336,10000000
wilcoxon,Wilcoxon,1,0.6931818181818181,336,10000000
wilcoxon,Wilcoxon,1,0.709090909090909,336,10000000
wilcoxon,Wilcoxon,1,0.725,336,10000000
wilcoxon,Wilcoxon,1,0.7409090909090909,336,10000000
wilcoxon,Wilcoxon,1,0.7568181818181817,336,10000000
wilcoxon,Wilcoxon,1,0.7727272727272727,336,10000000
wilcoxon,Wilcoxon,1,0.7886363636363636,336,10000000
wilcoxon,Wilcoxon,1,0.8045454545454545,336,10000000
wilcoxon,Wilcoxon,1,0.8204545454545454,336,10000000
wilcoxon,Wilcoxon,1,0.8363636363636363,336,10000000
wilcoxon,Wilcoxon,1,0.8522727272727272,336,10000000
wilcoxon,Wilcoxon,1,0.8681818181818182,336,10000000
wilcoxon,Wilcoxon,1,0.884090909090909,336,10000000
wilcoxon,Wilcoxon,1,0.9,336,10000000
mannwhitney,Mann-Whitney,1,0.003165163523954,10000000,10000000
mannwhitney,Mann-Whitney,1,0.0039854318080063,6169791,10000000
mannwhitney,Mann-Whitney,1,0.005018276804993,4471474,10000000
mannwhitney,Mann-Whitney,1,0.0063187888551852,2758806,10000000
mannwhitney,Mann-Whitney,1,0.007956335241748,1702125,10000000
mannwhitney,Mann-Whitney,1,0.0100182601333695,894030,10000000
mannwhitney,Mann-Whitney,1,0.0126145433859082,647936,10000000
mannwhitney,Mann-Whitney,1,0.0158836666962689,399763,10000000
mannwhitney,Mann-Whitney,1,0.02,246646,10000000
mannwhitney,Mann-Whitney,1,0.025,152175,10000000
mannwhitney,Mann-Whitney,1,0.0409090909090909,49315,10000000
mannwhitney,Mann-Whitney,1,0.0568181818181818,25902,10000000
mannwhitney,Mann-Whitney,1,0.0727272727272727,15981,10000000
mannwhitney,Mann-Whitney,1,0.0886363636363636,9860,10000000
mannwhitney,Mann-Whitney,1,0.1045454545454545,7146,10000000
mannwhitney,Mann-Whitney,1,0.1204545454545454,5179,10000000
mannwhitney,Mann-Whitney,1,0.1363636363636363,4409,10000000
mannwhitney,Mann-Whitney,1,0.1522727272727272,3195,10000000
mannwhitney,Mann-Whitney,1,0.1681818181818181,2720,10000000
mannwhitney,Mann-Whitney,1,0.184090909090909,2316,10000000
mannwhitney,Mann-Whitney,1,0.1999999999999999,1971,10000000
mannwhitney,Mann-Whitney,1,0.2159090909090908,1678,10000000
mannwhitney,Mann-Whitney,1,0.2318181818181817,1429,10000000
