comparison,q,n,theta,alpha_reference,alpha_ejab,power_reference,power_ejab,risk_reference,risk_ejab,delta_r,normalized_delta_r
bic_bf01,1,1000000000000.0,0.1,4.7206409912430595e-08,4.7206409911704344e-08,1.0,1.0,2.36032049460988e-08,2.36032049460988e-08,0.0,0.0
bic_bf01,3,1000000.0,0.01,1.796425988751525e-09,0.001044299950418702,0.9997810763359848,0.9999999995643816,0.0001094627302205553,0.0005221501930186001,-0.0004126874627980448,-0.16507498511921792
bic_bf01,3,1000000.0,0.05,1.796425988751525e-09,0.001044299950418702,1.0,1.0,8.982129484635948e-10,0.000522149975209385,-0.0005221490769964365,-0.2088596307985746
bic_bf01,3,1000000.0,0.1,1.796425988751525e-09,0.001044299950418702,1.0,1.0,8.982129484635948e-10,0.000522149975209385,-0.0005221490769964365,-0.2088596307985746
bic_bf01,3,100000000.0,0.01,2.0505437836251112e-12,0.00012371221105901087,1.0,1.0,1.025290963241332e-12,6.185610552955634e-05,-6.185610450426537e-05,-0.02474244180170615
bic_bf01,3,100000000.0,0.05,2.0505437836251112e-12,0.00012371221105901087,1.0,1.0,1.025290963241332e-12,6.185610552955634e-05,-6.185610450426537e-05,-0.02474244180170615
bic_bf01,3,100000000.0,0.1,2.0505437836251112e-12,0.00012371221105901087,1.0,1.0,1.025290963241332e-12,6.185610552955634e-05,-6.185610450426537e-05,-0.02474244180170615
bic_bf01,3,10000000000.0,0.01,2.276442273162828e-15,1.37899419629163e-05,1.0,1.0,1.1102230246251565e-15,6.8949709814969395e-06,-6.8949709803867165e-06,-0.0027579883921546866
bic_bf01,3,10000000000.0,0.05,2.276442273162828e-15,1.37899419629163e-05,1.0,1.0,1.1102230246251565e-15,6.8949709814969395e-06,-6.8949709803867165e-06,-0.0027579883921546866
bic_bf01,3,10000000000.0,0.1,2.276442273162828e-15,1.37899419629163e-05,1.0,1.0,1.1102230246251565e-15,6.8949709814969395e-06,-6.8949709803867165e-06,-0.0027579883921546866
bic_bf01,3,1000000000000.0,0.01,2.4818507301926063e-18,1.4975966528164803e-06,1.0,1.0,0.0,7.487983264553577e-07,-7.487983264553577e-07,-0.0002995193305821431
bic_bf01,3,1000000000000.0,0.05,2.4818507301926063e-18,1.4975966528164803e-06,1.0,1.0,0.0,7.487983264553577e-07,-7.487983264553577e-07,-0.0002995193305821431
bic_bf01,3,1000000000000.0,0.1,2.4818507301926063e-18,1.4975966528164803e-06,1.0,1.0,0.0,7.487983264553577e-07,-7.487983264553577e-07,-0.0002995193305821431
bic_bf01,4,1000000.0,0.01,9.909877801532226e-12,0.0023785341435048077,0.9952285107737201,0.9999999996414921,0.002385744618094876,0.0011892672510063207,0.0011964773670885553,0.47859094683542214
bic_bf01,4,1000000.0,0.05,9.909877801532226e-12,0.0023785341435048077,1.0,1.0,4.954925358902074e-12,0.0011892670717523757,-0.0011892670667974503,-0.4757068267189801
bic_bf01,4,1000000.0,0.1,9.909877801532226e-12,0.0023785341435048077,1.0,1.0,4.954925358902074e-12,0.0011892670717523757,-0.0011892670667974503,-0.4757068267189801
bic_bf01,4,100000000.0,0.01,1.297999125885761e-15,0.00034281379729819266,1.0,1.0,6.661338147750939e-16,0.00017140689864914016,-0.00017140689864847403,-0.06856275945938961
bic_bf01,4,100000000.0,0.05,1.297999125885761e-15,0.00034281379729819266,1.0,1.0,6.661338147750939e-16,0.00017140689864914016,-0.00017140689864847403,-0.06856275945938961
bic_bf01,4,100000000.0,0.1,1.297999125885761e-15,0.00034281379729819266,1.0,1.0,6.661338147750939e-16,0.00017140689864914016,-0.00017140689864847403,-0.06856275945938961
bic_bf01,4,10000000000.0,0.01,1.6050104716183082e-19,4.3720532368585665e-05,1.0,1.0,0.0,2.1860266184337007e-05,-2.1860266184337007e-05,-0.008744106473734803
bic_bf01,4,10000000000.0,0.05,1.6050104716183082e-19,4.3720532368585665e-05,1.0,1.0,0.0,2.1860266184337007e-05,-2.1860266184337007e-05,-0.008744106473734803
bic_bf01,4,10000000000.0,0.1,1.6050104716183082e-19,4.3720532368585665e-05,1.0,1.0,0.0,2.1860266184337007e-05,-2.1860266184337007e-05,-0.008744106473734803
