"test_key","test","q","n","theta","null_valid_reps","alt_valid_reps","alpha_p","power_p","alpha_ejab","power_ejab","alpha_bic","power_bic","alpha_tsbf","power_tsbf","risk_p","risk_ejab","risk_bic","risk_tsbf","delta_p_minus_ejab","delta_bic_minus_ejab","delta_tsbf_minus_ejab"
"anova","One-way ANOVA",3,149,0.0154852736536225,2000,400,0.0055,0.0075,0.035,0.03,5e-04,0.0025,0,0,0.499,0.5025,0.499,0.5,-0.00349999999999989,-0.00349999999999995,-0.00249999999999995
"anova","One-way ANOVA",3,149,0.02,2000,400,0.0055,0.0075,0.035,0.0375,5e-04,0.0025,0,0,0.499,0.49875,0.499,0.5,0.000250000000000083,0.000250000000000028,0.00125000000000003
"anova","One-way ANOVA",3,149,0.025,2000,400,0.0055,0.0075,0.035,0.0275,5e-04,0,0,0,0.499,0.50375,0.50025,0.5,-0.00474999999999987,-0.00349999999999995,-0.00374999999999992
"anova","One-way ANOVA",3,149,0.0666666666666667,2000,400,0.0055,0.0075,0.035,0.0475,5e-04,0,0,0,0.499,0.49375,0.50025,0.5,0.00525000000000009,0.00650000000000001,0.00625000000000003
"anova","One-way ANOVA",3,149,0.108333333333333,2000,400,0.0055,0.0375,0.035,0.135,5e-04,0.0125,0.0205,0.08,0.484,0.45,0.494,0.47025,0.0340000000000001,0.044,0.02025
"anova","One-way ANOVA",3,149,0.15,2000,400,0.0055,0.0775,0.035,0.22,5e-04,0.0125,0.042,0.265,0.464,0.4075,0.494,0.3885,0.0565,0.0865,-0.019
"anova","One-way ANOVA",3,149,0.191666666666667,2000,400,0.0055,0.155,0.035,0.3425,5e-04,0.075,0.0485,0.41,0.42525,0.34625,0.46275,0.31925,0.0790000000000001,0.1165,-0.0269999999999999
"anova","One-way ANOVA",3,149,0.233333333333333,2000,400,0.0055,0.305,0.035,0.545,5e-04,0.1475,0.0485,0.615,0.35025,0.245,0.4265,0.21675,0.10525,0.1815,-0.0282499999999999
"anova","One-way ANOVA",3,149,0.275,2000,400,0.0055,0.4775,0.035,0.735,5e-04,0.2925,0.046,0.7725,0.264,0.15,0.354,0.13675,0.114,0.204,-0.0132499999999999
"anova","One-way ANOVA",3,149,0.316666666666667,2000,400,0.0055,0.67,0.035,0.865,5e-04,0.42,0.04,0.87,0.16775,0.085,0.29025,0.085,0.08275,0.20525,5.55111512312578e-17
"anova","One-way ANOVA",3,149,0.358333333333333,2000,400,0.0055,0.855,0.035,0.955,5e-04,0.6725,0.035,0.95,0.07525,0.04,0.164,0.0425,0.0352500000000001,0.124,0.0025
"anova","One-way ANOVA",3,149,0.4,2000,400,0.0055,0.9475,0.035,0.9875,5e-04,0.8575,0.03,0.9825,0.029,0.0237499999999999,0.0715,0.02375,0.00525000000000009,0.04775,5.55111512312578e-17
"anova","One-way ANOVA",3,149,0.441666666666667,2000,400,0.0055,0.975,0.035,0.9925,5e-04,0.935,0.0245,0.9875,0.01525,0.0212499999999999,0.0327499999999999,0.0185,-0.00599999999999989,0.0115,-0.00274999999999997
"anova","One-way ANOVA",3,149,0.483333333333333,2000,400,0.0055,0.9975,0.035,1,5e-04,0.975,0.0195,0.9975,0.004,0.0175,0.01275,0.011,-0.0135,-0.00474999999999998,-0.00649999999999995
"anova","One-way ANOVA",3,149,0.525,2000,400,0.0055,0.9975,0.035,1,5e-04,0.975,0.016,1,0.004,0.0175,0.01275,0.00800000000000001,-0.0135,-0.00474999999999998,-0.00949999999999995
"anova","One-way ANOVA",3,149,0.566666666666667,2000,400,0.0055,1,0.035,1,5e-04,1,0.014,1,0.00275000000000003,0.0175,0.000249999999999972,0.00700000000000001,-0.0147499999999999,-0.01725,-0.0105
