"rows","columns","table_label","table_plot_label","q","n","w","critical_tsbf_estimated_omega","alpha_p05","alpha_ejab","alpha_tsbf","alpha_tsbf_estimated_omega","power_p05","power_ejab","power_tsbf","power_tsbf_estimated_omega","beta_p05","beta_ejab","beta_tsbf","beta_tsbf_estimated_omega","risk_p05","risk_ejab","risk_tsbf","risk_tsbf_estimated_omega","delta_p05_minus_ejab","delta_tsbf_minus_ejab","delta_tsbf_estimated_omega_minus_ejab"
2,2,"2 x 2 (q=1)","2 %*% 2~(q == 1)",1,30,0.180555555555556,2.39304125201973,0.05,0.0606880790874328,0.194122443587924,0.121876320119469,0.167363537713455,0.189675523580365,0.389542284898785,0.294029524617493,0.832636462286545,0.810324476419635,0.610457715101215,0.705970475382507,0.441318231143273,0.435506277753534,0.402290079344569,0.413923397750988,0.00581195338973878,-0.0332161984089644,-0.021582880002546
2,2,"2 x 2 (q=1)","2 %*% 2~(q == 1)",1,30,0.2,2.39304125201973,0.05,0.0606880790874328,0.178007650566802,0.121876320119469,0.194775228167149,0.219085588157546,0.408021264198261,0.329930521438658,0.805224771832851,0.780914411842454,0.591978735801739,0.670069478561342,0.427612385916426,0.420801245464943,0.38499319318427,0.395972899340406,0.00681114045148229,-0.0358080522806729,-0.0248283461245378
2,2,"2 x 2 (q=1)","2 %*% 2~(q == 1)",1,30,0.219444444444444,2.39304125201973,0.05,0.0606880790874328,0.16293972248497,0.121876320119469,0.225004012777079,0.251257633807235,0.428059137214466,0.368037388946067,0.774995987222921,0.748742366192765,0.571940862785534,0.631962611053933,0.412497993611461,0.404715222640099,0.367440292635252,0.376919465586701,0.00778277097136137,-0.0372749300048475,-0.0277957570533982
2,2,"2 x 2 (q=1)","2 %*% 2~(q == 1)",1,30,0.238888888888889,2.39304125201973,0.05,0.0606880790874328,0.148997966852995,0.121876320119469,0.25789760152137,0.285976570122317,0.449417488834844,0.40789681909126,0.74210239847863,0.714023429877683,0.550582511165156,0.59210318090874,0.396051199239315,0.387355754482558,0.349790239009076,0.356989750514104,0.00869544475675726,-0.0375655154734821,-0.0303660039684532
2,2,"2 x 2 (q=1)","2 %*% 2~(q == 1)",1,30,0.258333333333333,2.39304125201973,0.05,0.0606880790874328,0.136198288871959,0.121876320119469,0.29324112311678,0.322966686542106,0.471884161000659,0.449022547005058,0.70675887688322,0.677033313457894,0.528115838999341,0.550977452994942,0.37837943844161,0.368860696272663,0.33215706393565,0.336426886557205,0.00951874216894649,-0.0367036323370131,-0.0324338097154582
2,2,"2 x 2 (q=1)","2 %*% 2~(q == 1)",1,30,0.277777777777778,2.39304125201973,0.05,0.0606880790874328,0.124513600377225,0.121876320119469,0.330756814174647,0.361893800815424,0.49527166847682,0.490906425426833,0.669243185825353,0.638106199184576,0.50472833152318,0.509093574573167,0.359621592912677,0.349397139136004,0.314620965950203,0.315484947346318,0.0102244537766724,-0.0347761731858015,-0.0339121917896865
2,2,"2 x 2 (q=1)","2 %*% 2~(q == 1)",1,30,0.297222222222222,2.39304125201973,0.05,0.0606880790874328,0.113889626594404,0.121876320119469,0.370107206665557,0.402370877455916,0.519411129594332,0.533031399848238,0.629892793334443,0.597629122544084,0.480588870405668,0.466968600151762,0.339946396667222,0.329158600815758,0.297239248500036,0.294422460135615,0.0107877958514632,-0.0319193523157221,-0.034736140680143
2,2,"2 x 2 (q=1)","2 %*% 2~(q == 1)",1,30,0.316666666666667,2.39304125201973,0.05,0.0606880790874328,0.104256533687175,0.121876320119469,0.410901772303548,0.443966907471357,0.544145037682935,0.574885674350831,0.589098227696452,0.556033092528643,0.455854962317065,0.425114325649169,0.319549113848226,0.308360585808038,0.28005574800212,0.273495322884319,0.0111885280401882,-0.0283048378059176,-0.0348652629237187
2,2,"2 x 2 (q=1)","2 %*% 2~(q == 1)",1,30,0.336111111111111,2.39304125201973,0.05,0.0606880790874328,0.0955371166906643,0.121876320119469,0.452706742900598,0.48621860317238,0.569320882452471,0.615977242083023,0.547293257099402,0.51378139682762,0.430679117547529,0.384022757916977,0.298646628549701,0.287234737957526,0.263108117119097,0.252949539018223,0.0114118905921751,-0.0241266208384294,-0.0342851989393034
2,2,"2 x 2 (q=1)","2 %*% 2~(q == 1)",1,30,0.355555555555556,2.39304125201973,0.05,0.0606880790874328,0.0876523288166862,0.121876320119469,0.495057600049585,0.528644254932133,0.594786564676488,0.655847911319375,0.504942399950415,0.471355745067867,0.405213435323512,0.344152088680625,0.277471199975207,0.26602191207765,0.246432882070099,0.233014204400047,0.0114492878975574,-0.0195890300075507,-0.0330077076776032
