"test_key","test","q","n","theta","risk_p","risk_p05","risk_ejab","risk_bic","risk_tsbf","delta_p_minus_ejab","delta_p05_minus_ejab","delta_bic_minus_ejab","delta_tsbf_minus_ejab"
"anova","One-way ANOVA",3,30,0.015883666696269,0.499970050929255,0.499808622338947,0.499580654978343,NA,NA,0.000389395950912419,0.000227967360603709,NA,NA
"anova","One-way ANOVA",3,30,0.02,0.499952452034871,0.499696414515216,0.499335140509252,NA,NA,0.000617311525618225,0.000361274005963585,NA,NA
"anova","One-way ANOVA",3,30,0.025,0.499925552500513,0.499525263356019,0.498961158099334,NA,NA,0.000964394401179014,0.000564105256685654,NA,NA
"anova","One-way ANOVA",3,30,0.0444444444444444,0.499761787829712,0.498492343454166,0.496716828301851,NA,NA,0.00304495952786121,0.00177551515231561,NA,NA
"anova","One-way ANOVA",3,30,0.0638888888888889,0.499498295667209,0.496861426281871,0.493216326305472,NA,NA,0.0062819693617368,0.00364509997639867,NA,NA
"anova","One-way ANOVA",3,30,0.0833333333333333,0.499124423490907,0.494607570931702,0.488461781424246,NA,NA,0.0106626420666616,0.00614578950745615,NA,NA
"anova","One-way ANOVA",3,30,0.102777777777778,0.498625480743019,0.491698203155946,0.482458282438676,NA,NA,0.0161671983043426,0.0092399207172697,NA,NA
"anova","One-way ANOVA",3,30,0.122222222222222,0.497982562023286,0.488094318331449,0.475215704479813,NA,NA,0.0227668575434731,0.012878613851636,NA,NA
"anova","One-way ANOVA",3,30,0.141666666666667,0.497172364898792,0.483751999394534,0.466750783231522,NA,NA,0.0304215816672695,0.0170012161630122,NA,NA
"anova","One-way ANOVA",3,30,0.161111111111111,0.496167012837802,0.478624228663896,0.457089302767477,NA,NA,0.0390777100703248,0.0215349258964188,NA,NA
"anova","One-way ANOVA",3,30,0.180555555555556,0.494933911806186,0.472662978676836,0.446268228659707,NA,NA,0.0486656831464786,0.0263947500171285,NA,NA
"anova","One-way ANOVA",3,30,0.2,0.493435677844982,0.46582153313968,0.434337632186328,NA,NA,0.0590980456586538,0.0314839009533514,NA,NA
"anova","One-way ANOVA",3,30,0.219444444444444,0.491630154296192,0.458056994710422,0.421362243160478,NA,NA,0.0702679111357146,0.0366947515499447,NA,NA
"anova","One-way ANOVA",3,30,0.238888888888889,0.489470566353462,0.449332897038908,0.407422486139242,NA,NA,0.0820480802142197,0.0419104108996659,NA,NA
"anova","One-way ANOVA",3,30,0.258333333333333,0.486905835422764,0.43962184295067,0.392614892269577,NA,NA,0.0942909431531865,0.0470069506810926,NA,NA
"anova","One-way ANOVA",3,30,0.277777777777778,0.48388108597192,0.428908055776558,0.37705178867517,NA,NA,0.10682929729675,0.0518562671013885,NA,NA
"anova","One-way ANOVA",3,30,0.297222222222222,0.48033837410616,0.417189737589556,0.360860233911041,NA,NA,0.119478140195119,0.056329503678515,NA,NA
"anova","One-way ANOVA",3,30,0.316666666666667,0.476217648445082,0.404481109693968,0.344180194422831,NA,NA,0.132037454022251,0.0603009152711366,NA,NA
"anova","One-way ANOVA",3,30,0.336111111111111,0.47145796031384,0.390814013728925,0.327162011615277,NA,NA,0.144295948698563,0.0636520021136484,NA,NA
"anova","One-way ANOVA",3,30,0.355555555555556,0.465998909145939,0.376238975555389,0.309963259636541,NA,NA,0.156035649509398,0.0662757159188474,NA,NA
"anova","One-way ANOVA",3,30,0.375,0.459782316280568,0.360825622550677,0.292745122918553,NA,NA,0.167037193362015,0.0680804996321238,NA,NA
"anova","One-way ANOVA",3,30,0.394444444444444,0.452754081230187,0.344662404372387,0.27566846274783,NA,NA,0.177085618482357,0.0689939416245571,NA,NA
"anova","One-way ANOVA",3,30,0.413888888888889,0.444866184744684,0.327855567573276,0.258889768343528,NA,NA,0.185976416401156,0.0689657992297481,NA,NA
"anova","One-way ANOVA",3,30,0.433333333333333,0.436078759257214,0.310527397685557,0.242557184346349,NA,NA,0.193521574910865,0.067970213339208,NA,NA
"anova","One-way ANOVA",3,30,0.452777777777778,0.426362164447257,0.292813763550556,0.22680681221385,NA,NA,0.199555352233407,0.0660069513367064,NA,NA
"anova","One-way ANOVA",3,30,0.472222222222222,0.415698962369293,0.274861044885979,0.211759468814974,NA,NA,0.203939493554319,0.0631015760710048,NA,NA
"anova","One-way ANOVA",3,30,0.491666666666667,0.404085711635927,0.2568225701346,0.197518044702265,NA,NA,0.206567666933662,0.0593045254323349,NA,NA
"anova","One-way ANOVA",3,30,0.511111111111111,0.391534473733953,0.238854699672035,0.184165576371626,NA,NA,0.207368897362326,0.0546891233004087,NA,NA
"anova","One-way ANOVA",3,30,0.530555555555556,0.378073939830431,0.22111273926965,0.17176410388729,NA,NA,0.206309835943141,0.0493486353823603,NA,NA
"anova","One-way ANOVA",3,30,0.55,0.363750099328509,0.203746855748773,0.160354328206609,NA,NA,0.2033957711219,0.0433925275421633,NA,NA
"anova","One-way ANOVA",3,30,0.569444444444445,0.348626375540704,0.186898187509498,0.149956045185089,NA,NA,0.198670330355615,0.0369421423244088,NA,NA
"anova","One-way ANOVA",3,30,0.588888888888889,0.332783190705218,0.170695317602087,0.140569291599885,NA,NA,0.192213899105332,0.0301260260022019,NA,NA
"anova","One-way ANOVA",3,30,0.608333333333333,0.316316931600954,0.155251261491906,0.132176096004878,NA,NA,0.184140835596076,0.0230751654870286,NA,NA
"anova","One-way ANOVA",3,30,0.627777777777778,0.299338333247011,0.140661094606721,0.124742710681185,NA,NA,0.174595622565825,0.0159183839255355,NA,NA
"anova","One-way ANOVA",3,30,0.647222222222222,0.281970309794692,0.127000297532848,0.118222177817898,NA,NA,0.163748131976794,0.00877811971494946,NA,NA
"anova","One-way ANOVA",3,30,0.666666666666667,0.264345309820515,0.114323861862578,0.112557087940213,NA,NA,0.151788221880301,0.0017667739223648,NA,NA
"anova","One-way ANOVA",3,30,0.686111111111111,0.246602280088216,0.102666161883709,0.107682381128666,NA,NA,0.138919898959549,-0.00501621924495754,NA,NA
"anova","One-way ANOVA",3,30,0.705555555555556,0.228883363734559,0.0920415423666691,0.103528067053023,NA,NA,0.125355296681536,-0.0114865246863536,NA,NA
"anova","One-way ANOVA",3,30,0.725,0.211330453976526,0.0824455560168537,0.100021750703116,NA,NA,0.111308703273411,-0.0175761946862619,NA,NA
"anova","One-way ANOVA",3,30,0.744444444444444,0.194081753573723,0.0738567408452452,0.0970908850881148,NA,NA,0.096990868485608,-0.0232341442428695,NA,NA
