"test_key","test","q","n","theta","null_valid_reps","alt_valid_reps","alpha_p","power_p","alpha_ejab","power_ejab","alpha_bic","power_bic","alpha_tsbf","power_tsbf","risk_p","risk_ejab","risk_bic","risk_tsbf","delta_p_minus_ejab","delta_bic_minus_ejab","delta_tsbf_minus_ejab"
"chisq","Chi-square independence",4,120,0.2,2000,500,0.0055,0.026,0.0415,0.116,5e-04,0.004,0.0495,0.128,0.48975,0.46275,0.49825,0.46075,0.027,0.0354999999999999,-0.002
"chisq","Chi-square independence",4,120,0.35,2000,500,0.0055,0.076,0.0415,0.234,5e-04,0.008,0.0255,0.166,0.46475,0.40375,0.49625,0.42975,0.061,0.0924999999999999,0.026
"chisq","Chi-square independence",4,120,0.5,2000,500,0.0055,0.258,0.0415,0.522,5e-04,0.066,0.01,0.298,0.37375,0.25975,0.46725,0.356,0.114,0.2075,0.09625
"chisq","Chi-square independence",4,120,0.8,2000,500,0.0055,0.794,0.0415,0.928,5e-04,0.518,0.0015,0.686,0.10575,0.05675,0.24125,0.15775,0.049,0.1845,0.101
"chisq","Chi-square independence",4,250,0.05,2000,500,0.0055,0.008,0.035,0.044,0,0,0.0015,0.004,0.49875,0.4955,0.5,0.49875,0.00325000000000009,0.00450000000000006,0.00325000000000009
"chisq","Chi-square independence",4,250,0.1,2000,500,0.0055,0.008,0.035,0.058,0,0,0.039,0.062,0.49875,0.4885,0.5,0.4885,0.0102500000000001,0.0115000000000001,0
"chisq","Chi-square independence",4,250,0.2,2000,500,0.0055,0.048,0.035,0.15,0,0.002,0.0335,0.15,0.47875,0.4425,0.499,0.44175,0.0362500000000001,0.0565,-0.000749999999999917
"chisq","Chi-square independence",4,250,0.35,2000,500,0.0055,0.262,0.035,0.462,0,0.036,0.0085,0.3,0.37175,0.2865,0.482,0.35425,0.08525,0.1955,0.06775
"chisq","Chi-square independence",4,250,0.5,2000,500,0.0055,0.672,0.035,0.878,0,0.24,0.0015,0.574,0.16675,0.0785,0.38,0.21375,0.08825,0.3015,0.13525
"chisq","Chi-square independence",4,250,0.8,2000,500,0.0055,0.994,0.035,0.996,0,0.924,0,0.966,0.00575000000000003,0.0195,0.038,0.017,-0.0137499999999999,0.0185,-0.00249999999999995
"chisq","Chi-square independence",4,500,0.05,2000,500,0.0035,0.006,0.027,0.052,0,0,0.0145,0.034,0.49875,0.4875,0.5,0.49025,0.0112500000000001,0.0125000000000001,0.00275000000000003
"chisq","Chi-square independence",4,500,0.1,2000,500,0.0035,0.02,0.027,0.08,0,0,0.042,0.118,0.49175,0.4735,0.5,0.462,0.01825,0.0265,-0.0115
"chisq","Chi-square independence",4,500,0.2,2000,500,0.0035,0.128,0.027,0.294,0,0.01,0.0125,0.224,0.43775,0.3665,0.495,0.39425,0.0712500000000001,0.1285,0.0277500000000001
"chisq","Chi-square independence",4,500,0.35,2000,500,0.0035,0.674,0.027,0.85,0,0.16,0.002,0.59,0.16475,0.0885,0.42,0.206,0.07625,0.3315,0.1175
"chisq","Chi-square independence",4,500,0.5,2000,500,0.0035,0.978,0.027,0.998,0,0.694,5e-04,0.91,0.01275,0.0145,0.153,0.04525,-0.00174999999999992,0.1385,0.03075
"chisq","Chi-square independence",4,500,0.8,2000,500,0.0035,1,0.027,1,0,1,0,1,0.00175000000000003,0.0135,0,0,-0.0117499999999999,-0.0135,-0.0135
"cox","Cox PH regression",1,30,0.05,2000,500,0.0065,0.004,0.018,0.026,0.0205,0.03,0,0,0.50125,0.496,0.49525,0.5,0.00524999999999998,-0.000750000000000028,0.004
"cox","Cox PH regression",1,30,0.1,2000,500,0.0065,0.008,0.018,0.026,0.0205,0.026,0,0,0.49925,0.496,0.49725,0.5,0.00324999999999998,0.00124999999999997,0.004
"cox","Cox PH regression",1,30,0.2,2000,500,0.0065,0.006,0.018,0.022,0.0205,0.026,0.013,0.02,0.50025,0.498,0.49725,0.4965,0.00224999999999997,-0.000750000000000028,-0.00150000000000006
"cox","Cox PH regression",1,30,0.35,2000,500,0.0065,0.02,0.018,0.054,0.0205,0.062,0.037,0.118,0.49325,0.482,0.47925,0.4595,0.01125,-0.00275000000000003,-0.0225
"cox","Cox PH regression",1,30,0.5,2000,500,0.0065,0.044,0.018,0.108,0.0205,0.114,0.0385,0.208,0.48125,0.455,0.45325,0.41525,0.0262499999999999,-0.00175000000000003,-0.03975
"cox","Cox PH regression",1,30,0.8,2000,500,0.0065,0.178,0.018,0.306,0.0205,0.316,0.027,0.386,0.41425,0.356,0.35225,0.3205,0.05825,-0.00375000000000003,-0.0355
"cox","Cox PH regression",1,60,0.05,2000,500,0.0065,0.004,0.017,0.012,0.0185,0.016,0,0,0.50125,0.5025,0.50125,0.5,-0.00124999999999997,-0.00124999999999997,-0.00249999999999995
"cox","Cox PH regression",1,60,0.1,2000,500,0.0065,0.008,0.017,0.018,0.0185,0.02,0.001,0.004,0.49925,0.4995,0.49925,0.4985,-0.000249999999999972,-0.000249999999999972,-0.001
"cox","Cox PH regression",1,60,0.2,2000,500,0.0065,0.014,0.017,0.038,0.0185,0.04,0.037,0.072,0.49625,0.4895,0.48925,0.4825,0.00675000000000003,-0.000249999999999972,-0.00699999999999995
"cox","Cox PH regression",1,60,0.35,2000,500,0.0065,0.05,0.017,0.088,0.0185,0.092,0.048,0.202,0.47825,0.4645,0.46325,0.423,0.01375,-0.00124999999999997,-0.0414999999999999
"cox","Cox PH regression",1,60,0.5,2000,500,0.0065,0.114,0.017,0.206,0.0185,0.216,0.0415,0.334,0.44625,0.4055,0.40125,0.35375,0.04075,-0.00424999999999998,-0.05175
"cox","Cox PH regression",1,60,0.8,2000,500,0.0065,0.486,0.017,0.604,0.0185,0.618,0.024,0.642,0.26025,0.2065,0.20025,0.191,0.05375,-0.00624999999999998,-0.0155
"cox","Cox PH regression",1,120,0.05,2000,500,0.006,0.01,0.0105,0.018,0.0105,0.018,5e-04,0,0.498,0.49625,0.49625,0.50025,0.00175000000000003,0,0.004
"cox","Cox PH regression",1,120,0.1,2000,500,0.006,0.012,0.0105,0.026,0.0105,0.026,0.0125,0.026,0.497,0.49225,0.49225,0.49325,0.00475000000000003,0,0.001
"cox","Cox PH regression",1,120,0.2,2000,500,0.006,0.03,0.0105,0.042,0.0105,0.044,0.044,0.152,0.488,0.48425,0.48325,0.446,0.00375000000000003,-0.001,-0.03825
"cox","Cox PH regression",1,120,0.35,2000,500,0.006,0.15,0.0105,0.192,0.0105,0.194,0.035,0.316,0.428,0.40925,0.40825,0.3595,0.01875,-0.001,-0.0497500000000001
"cox","Cox PH regression",1,120,0.5,2000,500,0.006,0.366,0.0105,0.45,0.0105,0.45,0.0225,0.566,0.32,0.28025,0.28025,0.22825,0.03975,0,-0.052
"cox","Cox PH regression",1,120,0.8,2000,500,0.006,0.846,0.0105,0.892,0.0105,0.896,0.01,0.884,0.08,0.05925,0.05725,0.063,0.02075,-0.002,0.00375000000000003
"cox","Cox PH regression",1,250,0.05,2000,500,0.006,0.002,0.0075,0.006,0.0075,0.006,0.0025,0.002,0.502,0.50075,0.50075,0.50025,0.00124999999999997,0,-0.000500000000000056
"cox","Cox PH regression",1,250,0.1,2000,500,0.006,0.012,0.0075,0.014,0.0075,0.014,0.0295,0.066,0.497,0.49675,0.49675,0.48175,0.000249999999999972,0,-0.015
"cox","Cox PH regression",1,250,0.2,2000,500,0.006,0.088,0.0075,0.094,0.0075,0.094,0.0415,0.242,0.459,0.45675,0.45675,0.39975,0.00224999999999997,0,-0.057
"cox","Cox PH regression",1,250,0.35,2000,500,0.006,0.378,0.0075,0.398,0.0075,0.4,0.019,0.592,0.314,0.30475,0.30375,0.2135,0.00924999999999998,-0.001,-0.09125
"cox","Cox PH regression",1,250,0.5,2000,500,0.006,0.786,0.0075,0.806,0.0075,0.81,0.0115,0.848,0.11,0.10075,0.09875,0.08175,0.00924999999999998,-0.002,-0.019
"cox","Cox PH regression",1,250,0.8,2000,500,0.006,1,0.0075,1,0.0075,1,0.0035,1,0.003,0.00375000000000003,0.00375000000000003,0.00175000000000003,-0.000750000000000028,0,-0.002
"cox","Cox PH regression",1,500,0.05,2000,500,0.0055,0.008,0.0045,0.006,0.005,0.006,0.013,0.018,0.49875,0.49925,0.4995,0.4975,-0.000499999999999945,0.000249999999999972,-0.00175000000000003
"cox","Cox PH regression",1,500,0.1,2000,500,0.0055,0.044,0.0045,0.038,0.005,0.038,0.046,0.192,0.48075,0.48325,0.4835,0.427,-0.00249999999999995,0.000249999999999972,-0.0562499999999999
"cox","Cox PH regression",1,500,0.2,2000,500,0.0055,0.202,0.0045,0.186,0.005,0.186,0.0325,0.402,0.40175,0.40925,0.4095,0.31525,-0.00749999999999995,0.000249999999999972,-0.094
